raw_date_time,temp,otm
6/13/2022 13:03,17.5,H102
6/13/2022 14:03,18.5,H102
6/13/2022 15:03,14.5,H102
6/13/2022 16:03,11,H102
6/13/2022 17:03,11.5,H102
6/13/2022 18:03,19,H102
6/13/2022 19:03,20.5,H102
6/13/2022 20:03,14,H102
6/13/2022 21:03,5,H102
6/13/2022 22:03,3.5,H102
6/13/2022 23:03,3,H102
6/14/2022 0:03,2.5,H102
6/14/2022 1:03,2,H102
6/14/2022 2:03,2,H102
6/14/2022 3:03,1,H102
6/14/2022 4:03,1,H102
6/14/2022 5:03,0.5,H102
6/14/2022 6:03,0.5,H102
6/14/2022 7:03,1.5,H102
6/14/2022 8:03,5.5,H102
6/14/2022 9:03,7.5,H102
6/14/2022 10:03,7.5,H102
6/14/2022 11:03,8.5,H102
6/14/2022 12:03,11.5,H102
6/14/2022 13:03,12.5,H102
6/14/2022 14:03,14,H102
6/14/2022 15:03,15.5,H102
6/14/2022 16:03,18.5,H102
6/14/2022 17:03,17.5,H102
6/14/2022 18:03,26,H102
6/14/2022 19:03,26,H102
6/14/2022 20:03,20,H102
6/14/2022 21:03,10.5,H102
6/14/2022 22:03,9,H102
6/14/2022 23:03,8.5,H102
6/15/2022 0:03,8,H102
6/15/2022 1:03,7,H102
6/15/2022 2:03,6.5,H102
6/15/2022 3:03,5.5,H102
6/15/2022 4:03,5,H102
6/15/2022 5:03,4.5,H102
6/15/2022 6:03,5,H102
6/15/2022 7:03,5.5,H102
6/15/2022 8:03,9.5,H102
6/15/2022 9:03,11.5,H102
6/15/2022 10:03,11.5,H102
6/15/2022 11:03,13.5,H102
6/15/2022 12:03,16,H102
6/15/2022 13:03,18.5,H102
6/15/2022 14:03,20.5,H102
6/15/2022 15:03,21.5,H102
6/15/2022 16:03,24.5,H102
6/15/2022 17:03,24,H102
6/15/2022 18:03,30.5,H102
6/15/2022 19:03,26.5,H102
6/15/2022 20:03,21.5,H102
6/15/2022 21:03,14.5,H102
6/15/2022 22:03,13,H102
6/15/2022 23:03,12.5,H102
6/16/2022 0:03,12,H102
6/16/2022 1:03,12.5,H102
6/16/2022 2:03,12,H102
6/16/2022 3:03,11.5,H102
6/16/2022 4:03,12,H102
6/16/2022 5:03,11,H102
6/16/2022 6:03,11,H102
6/16/2022 7:03,11,H102
6/16/2022 8:03,13.5,H102
6/16/2022 9:03,16,H102
6/16/2022 10:03,16,H102
6/16/2022 11:03,17,H102
6/16/2022 12:03,19,H102
6/16/2022 13:03,20,H102
6/16/2022 14:03,21,H102
6/16/2022 15:03,20.5,H102
6/16/2022 16:03,22.5,H102
6/16/2022 17:03,21,H102
6/16/2022 18:03,27.5,H102
6/16/2022 19:03,25,H102
6/16/2022 20:03,19.5,H102
6/16/2022 21:03,12.5,H102
6/16/2022 22:03,11,H102
6/16/2022 23:03,10,H102
6/17/2022 0:03,10,H102
6/17/2022 1:03,10,H102
6/17/2022 2:03,10.5,H102
6/17/2022 3:03,9,H102
6/17/2022 4:03,5.5,H102
6/17/2022 5:03,6.5,H102
6/17/2022 6:03,6.5,H102
6/17/2022 7:03,6.5,H102
6/17/2022 8:03,7,H102
6/17/2022 9:03,7,H102
6/17/2022 10:03,7,H102
6/17/2022 11:03,9.5,H102
6/17/2022 12:03,12.5,H102
6/17/2022 13:03,11.5,H102
6/17/2022 14:03,10.5,H102
6/17/2022 15:03,10.5,H102
6/17/2022 16:03,13,H102
6/17/2022 17:03,13.5,H102
6/17/2022 18:03,11.5,H102
6/17/2022 19:03,12.5,H102
6/17/2022 20:03,7.5,H102
6/17/2022 21:03,3,H102
6/17/2022 22:03,1,H102
6/17/2022 23:03,0,H102
6/18/2022 0:03,-0.5,H102
6/18/2022 1:03,-1,H102
6/18/2022 2:03,-1,H102
6/18/2022 3:03,-1.5,H102
6/18/2022 4:03,-2,H102
6/18/2022 5:03,-2,H102
6/18/2022 6:03,-1.5,H102
6/18/2022 7:03,-1.5,H102
6/18/2022 8:03,1.5,H102
6/18/2022 9:03,2.5,H102
6/18/2022 10:03,3.5,H102
6/18/2022 11:03,5.5,H102
6/18/2022 12:03,7,H102
6/18/2022 13:03,7,H102
