Date/Time,Value
6/13/2022 14:07,17
6/13/2022 15:07,19
6/13/2022 16:07,16.5
6/13/2022 17:07,16
6/13/2022 18:07,13.5
6/13/2022 19:07,12.5
6/13/2022 20:07,4
6/13/2022 21:07,2
6/13/2022 22:07,1
6/13/2022 23:07,0
6/14/2022 0:07,-1
6/14/2022 1:07,-0.5
6/14/2022 2:07,-1.5
6/14/2022 3:07,-2.5
6/14/2022 4:07,-3
6/14/2022 5:07,-3
6/14/2022 6:07,-2.5
6/14/2022 7:07,9
6/14/2022 8:07,14.5
6/14/2022 9:07,19
6/14/2022 10:07,22
6/14/2022 11:07,24
6/14/2022 12:07,29.5
6/14/2022 13:07,30.5
6/14/2022 14:07,29
6/14/2022 15:07,26.5
6/14/2022 16:07,25.5
6/14/2022 17:07,24
6/14/2022 18:07,21
6/14/2022 19:07,19
6/14/2022 20:07,10
6/14/2022 21:07,7.5
6/14/2022 22:07,6.5
6/14/2022 23:07,7
6/15/2022 0:07,6
6/15/2022 1:07,4.5
6/15/2022 2:07,3
6/15/2022 3:07,3
6/15/2022 4:07,1.5
6/15/2022 5:07,2.5
6/15/2022 6:07,3
6/15/2022 7:07,12.5
6/15/2022 8:07,17
6/15/2022 9:07,19
6/15/2022 10:07,25
6/15/2022 11:07,29
6/15/2022 12:07,30.5
6/15/2022 13:07,32.5
6/15/2022 14:07,34
6/15/2022 15:07,35
6/15/2022 16:07,33
6/15/2022 17:07,30
6/15/2022 18:07,26.5
6/15/2022 19:07,22
6/15/2022 20:07,16
6/15/2022 21:07,13.5
6/15/2022 22:07,12
6/15/2022 23:07,11.5
6/16/2022 0:07,11
6/16/2022 1:07,11
6/16/2022 2:07,10
6/16/2022 3:07,10
6/16/2022 4:07,10
6/16/2022 5:07,9.5
6/16/2022 6:07,9.5
6/16/2022 7:07,14
6/16/2022 8:07,18.5
6/16/2022 9:07,21.5
6/16/2022 10:07,22
6/16/2022 11:07,24.5
6/16/2022 12:07,27
6/16/2022 13:07,28
6/16/2022 14:07,27
6/16/2022 15:07,26
6/16/2022 16:07,25.5
6/16/2022 17:07,23.5
6/16/2022 18:07,22
6/16/2022 19:07,18.5
6/16/2022 20:07,13.5
6/16/2022 21:07,11
6/16/2022 22:07,9.5
6/16/2022 23:07,9
6/17/2022 0:07,8.5
6/17/2022 1:07,9
6/17/2022 2:07,9
6/17/2022 3:07,7.5
6/17/2022 4:07,4
6/17/2022 5:07,5
6/17/2022 6:07,5
6/17/2022 7:07,6
6/17/2022 8:07,7
6/17/2022 9:07,8
6/17/2022 10:07,11.5
6/17/2022 11:07,20
6/17/2022 12:07,23
6/17/2022 13:07,15.5
6/17/2022 14:07,12.5
6/17/2022 15:07,12
6/17/2022 16:07,16
6/17/2022 17:07,17
6/17/2022 18:07,9.5
6/17/2022 19:07,8.5
6/17/2022 20:07,4
6/17/2022 21:07,1.5
6/17/2022 22:07,-0.5
6/17/2022 23:07,-1.5
6/18/2022 0:07,-2.5
6/18/2022 1:07,-2.5
6/18/2022 2:07,-3
6/18/2022 3:07,-3.5
6/18/2022 4:07,-3.5
6/18/2022 5:07,-3.5
6/18/2022 6:07,-3.5
6/18/2022 7:07,2.5
6/18/2022 8:07,5
6/18/2022 9:07,10
6/18/2022 10:07,13.5
6/18/2022 11:07,18.5
6/18/2022 12:07,18.5
6/18/2022 13:07,11.5
6/18/2022 14:07,21
6/18/2022 15:07,12.5
6/18/2022 16:07,12
6/18/2022 17:07,8.5
6/18/2022 18:07,9.5
6/18/2022 19:07,9
6/18/2022 20:07,2.5
6/18/2022 21:07,0.5
6/18/2022 22:07,-0.5
6/18/2022 23:07,-1
6/19/2022 0:07,-1
6/19/2022 1:07,-2
6/19/2022 2:07,-2
6/19/2022 3:07,-2
6/19/2022 4:07,-2
6/19/2022 5:07,-2.5
6/19/2022 6:07,-3
6/19/2022 7:07,3
6/19/2022 8:07,12
6/19/2022 9:07,3
6/19/2022 10:07,16
6/19/2022 11:07,20
6/19/2022 12:07,23
6/19/2022 13:07,22.5
6/19/2022 14:07,20.5
6/19/2022 15:07,21.5
6/19/2022 16:07,17
6/19/2022 17:07,12.5
6/19/2022 18:07,12
6/19/2022 19:07,10.5
6/19/2022 20:07,6
6/19/2022 21:07,4
6/19/2022 22:07,3
6/19/2022 23:07,2
6/20/2022 0:07,2
6/20/2022 1:07,1
6/20/2022 2:07,0.5
6/20/2022 3:07,-0.5
6/20/2022 4:07,-1.5
6/20/2022 5:07,-2
6/20/2022 6:07,-0.5
6/20/2022 7:07,10.5
6/20/2022 8:07,13.5
6/20/2022 9:07,18
6/20/2022 10:07,20
6/20/2022 11:07,20.5
6/20/2022 12:07,21
6/20/2022 13:07,19
6/20/2022 14:07,25
6/20/2022 15:07,25.5
6/20/2022 16:07,20.5
6/20/2022 17:07,21.5
6/20/2022 18:07,15.5
6/20/2022 19:07,14
6/20/2022 20:07,10.5
6/20/2022 21:07,8
6/20/2022 22:07,6.5
6/20/2022 23:07,5.5
6/21/2022 0:07,5.5
6/21/2022 1:07,5.5
6/21/2022 2:07,4.5
6/21/2022 3:07,4.5
6/21/2022 4:07,4.5
6/21/2022 5:07,4
6/21/2022 6:07,5
6/21/2022 7:07,12.5
6/21/2022 8:07,15.5
6/21/2022 9:07,18.5
6/21/2022 10:07,21.5
6/21/2022 11:07,24
6/21/2022 12:07,26.5
6/21/2022 13:07,29
6/21/2022 14:07,30
6/21/2022 15:07,31
6/21/2022 16:07,30
6/21/2022 17:07,26
6/21/2022 18:07,24.5
6/21/2022 19:07,24.5
6/21/2022 20:07,14.5
6/21/2022 21:07,12.5
6/21/2022 22:07,10.5
6/21/2022 23:07,10.5
6/22/2022 0:07,10.5
6/22/2022 1:07,10
6/22/2022 2:07,9
6/22/2022 3:07,9
6/22/2022 4:07,8.5
6/22/2022 5:07,8
6/22/2022 6:07,9
6/22/2022 7:07,18
