otm_id,latitude,longitude
H1,39.74506079,-119.459679
H2,39.74967037,-119.4603823
H3,39.74545663,-119.4595965
H4,39.74593211,-119.459782
H5,39.74541463,-119.4596898
H6,39.74801615,-119.4588963
H7,39.74860381,-119.4598595
H8,39.74703468,-119.459988
H9,39.74484465,-119.4595955
H10,39.74650705,-119.4603182
H11,39.74612755,-119.4595737
H12,39.74643043,-119.4594938
H13,39.74488997,-119.4597176
H14,39.74962614,-119.4596328
H15,39.74889603,-119.459676
H16,39.74964451,-119.4601396
H17,39.748047,-119.4586845
H18,39.74925003,-119.4595643
H19,39.74554204,-119.4594243
H20,39.74807069,-119.458373
H21,39.74854792,-119.460126
H22,39.74929444,-119.4596874
H23,39.74673864,-119.4598585
H24,39.74861612,-119.4600407
H25,39.74565699,-119.4595721
H26,39.74602032,-119.459815
H27,39.74491217,-119.4596869
H28,39.7482223,-119.459951
H29,39.74751781,-119.4586193
H30,39.74805443,-119.4606318
H31,39.74716525,-119.4601833
H32,39.74592192,-119.4593721
H33,39.7484299,-119.4597101
H34,39.74796946,-119.4590177
H35,39.74904002,-119.4597021
H36,39.74822222,-119.4581099
H37,39.7476505,-119.4602785
H38,39.74937052,-119.4604093
H39,39.74523111,-119.459565
H40,39.7459185,-119.4595494
H41,39.74627726,-119.46005
H42,39.74570855,-119.4594006
H43,39.7455277,-119.4594966
H44,39.74998192,-119.4599632
H45,39.74706155,-119.4597874
H46,39.74850785,-119.4597859
H47,39.74881021,-119.4597492
H48,39.74849672,-119.4585024
H49,39.74869699,-119.4594607
H50,39.74786523,-119.4585199
H51,39.745315,-119.4596221
H52,39.74944474,-119.459684
H53,39.74746112,-119.4599173
H54,39.748855,-119.4595215
H55,39.74641319,-119.4601665
H56,39.74916952,-119.4595209
H57,39.74692554,-119.4602243
H58,39.74827799,-119.46032
H59,39.7465604,-119.4598555
H60,39.749711,-119.4600603
H61,39.74692418,-119.4598976
H62,39.74896827,-119.4601293
H63,39.748191,-119.4594521
H64,39.74832416,-119.4597213
H65,39.74614504,-119.4598676
H66,39.74971242,-119.4597125
H67,39.74779596,-119.4589096
H68,39.74661547,-119.4602148
H69,39.74829233,-119.460104
H70,39.74668966,-119.4600057
H71,39.74798899,-119.4583995
H72,39.74742771,-119.4593373
H73,39.74811892,-119.4602525
H74,39.74529238,-119.4597775
H75,39.74842131,-119.4587934
H76,39.74840559,-119.459531
H77,39.74815954,-119.4596697
H78,39.74811954,-119.4599466
H79,39.74782503,-119.45982
H80,39.74800735,-119.4598123
H81,39.74937746,-119.4599552
H82,39.74913207,-119.4594452
H83,39.74821672,-119.4583743
H84,39.74776821,-119.458406
H85,39.74480133,-119.4596558
H86,39.748523,-119.4608615
H87,39.748442,-119.46059
H88,39.74680606,-119.4602922
H89,39.748804,-119.4602032
H90,39.74851892,-119.459405
H91,39.74755073,-119.4601714
H92,39.74782536,-119.4604743
H93,39.74817734,-119.4606694
H94,39.74855498,-119.460611
H95,39.74864269,-119.4588735
H96,39.74729753,-119.4598906
H97,39.74745067,-119.4596022
H98,39.74734803,-119.4588268
H99,39.74793061,-119.4602994
H100,39.7483438,-119.4582887
H101,39.74836622,-119.4607742
H102,39.74866503,-119.4606481
H103,39.74957605,-119.4605047
H104,39.74918746,-119.4598151
H105,39.74991408,-119.4597923
H106,39.7473775,-119.4590172
H107,39.7489366,-119.4599395
H108,39.74903661,-119.4599838
H109,39.74925051,-119.4599969
H110,39.74518843,-119.4598536
H111,39.74989078,-119.4595093
H112,39.74979306,-119.4594795
H113,39.74973754,-119.4594655
H114,39.75050533,-119.4599901
H115,39.74942116,-119.4593243
H116,39.75055709,-119.4600586
H117,39.7501623,-119.4598727
H118,39.75033355,-119.45989
H119,39.74996481,-119.4596566
H120,39.75062766,-119.4600831
H121,39.74889968,-119.4603455
H122,39.74829484,-119.4608477
H123,39.74951857,-119.4603028
H124,39.74932124,-119.460218
H125,39.7483879,-119.4601231
H126,39.74872,-119.460531
H127,39.74938577,-119.4601494
H128,39.74838306,-119.4592856
H129,39.74947412,-119.460039
H130,39.74978417,-119.4602856
H131,39.74990364,-119.4602185
H132,39.74873573,-119.4603429
H133,39.74959454,-119.4602798
H134,39.7495976,-119.4601395
H135,39.746913,-119.4600883
H136,39.74847185,-119.4605115
H137,39.75006562,-119.4597924
H138,39.74987679,-119.4596102
H139,39.74913244,-119.4590563
H140,39.74960922,-119.45951
H141,39.74952289,-119.4592231
H142,39.74872225,-119.4591929
H143,39.74915981,-119.4592293
H144,39.74853831,-119.4592258
H145,39.74954939,-119.4594467
H146,39.7503805,-119.4600827
H147,39.7505454,-119.4603664
H148,39.75068722,-119.4601827
H149,39.7489628,-119.4591458
H150,39.74935714,-119.4594744
