flight_id,date,time_start,time_end
flight01,8/24/2023,8:35,8:39
flight02,8/24/2023,8:59,9:03
flight03,8/24/2023,9:19,9:23
flight04,8/24/2023,9:42,9:46
flight05,8/24/2023,10:06,10:10
flight06,8/24/2023,10:38,10:42
flight07,8/24/2023,10:57,11:01
flight08,8/24/2023,11:20,11:24
flight09,8/24/2023,11:40,11:44
flight10,8/24/2023,12:00,12:04
flight11,8/24/2023,12:21,12:25
flight12,8/25/2023,10:27,10:31
flight13,8/25/2023,10:49,10:53
flight14,8/25/2023,11:09,11:13
flight15,8/25/2023,11:30,11:34
flight16,8/25/2023,11:52,11:56
flight17,8/25/2023,12:12,12:16
flight18,8/25/2023,12:37,12:41
flight19,8/25/2023,12:57,13:00
flight20,8/25/2023,13:18,13:22
flight21,8/25/2023,13:39,13:43
flight22,8/26/2023,14:00,14:04
flight23,8/26/2023,14:36,14:40
flight24,8/26/2023,15:00,15:04
flight25,8/26/2023,15:26,15:30
flight26,8/26/2023,15:51,15:55
flight27,8/26/2023,16:16,16:20
flight28,8/26/2023,16:38,16:42
flight29,8/26/2023,17:06,17:10
flight30,8/26/2023,17:31,17:35
flight31,8/26/2023,17:56,18:00
flight32,8/26/2023,18:21,18:25
flight33,8/26/2023,18:46,18:50
flight34,8/26/2023,19:08,19:12
