1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: BC0000004B98AA21
Is Mission Active?  true
Mission Start:  Thu Aug 24 06:09:00 PDT 2023
Sample Rate:  Every 2 minute(s)
Number of Mission Samples:  18934
Total Samples:  89885
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/24/23 6:09:00 AM,C,13
8/24/23 6:11:00 AM,C,13
8/24/23 6:13:00 AM,C,13
8/24/23 6:15:00 AM,C,13
8/24/23 6:17:00 AM,C,13
8/24/23 6:19:00 AM,C,12.5
8/24/23 6:21:00 AM,C,12.5
8/24/23 6:23:00 AM,C,12.5
8/24/23 6:25:00 AM,C,12.5
8/24/23 6:27:00 AM,C,12.5
8/24/23 6:29:00 AM,C,12.5
8/24/23 6:31:00 AM,C,12.5
8/24/23 6:33:00 AM,C,12.5
8/24/23 6:35:00 AM,C,12.5
8/24/23 6:37:00 AM,C,12.5
8/24/23 6:39:00 AM,C,12.5
8/24/23 6:41:00 AM,C,12.5
8/24/23 6:43:00 AM,C,12.5
8/24/23 6:45:00 AM,C,12
8/24/23 6:47:00 AM,C,12
8/24/23 6:49:00 AM,C,12
8/24/23 6:51:00 AM,C,12.5
8/24/23 6:53:00 AM,C,13
8/24/23 6:55:00 AM,C,13.5
8/24/23 6:57:00 AM,C,14
8/24/23 6:59:00 AM,C,14.5
8/24/23 7:01:00 AM,C,15
8/24/23 7:03:00 AM,C,15.5
8/24/23 7:05:00 AM,C,16
8/24/23 7:07:00 AM,C,16.5
8/24/23 7:09:00 AM,C,17
8/24/23 7:11:00 AM,C,17
8/24/23 7:13:00 AM,C,17.5
8/24/23 7:15:00 AM,C,18
8/24/23 7:17:00 AM,C,18
8/24/23 7:19:00 AM,C,18.5
8/24/23 7:21:00 AM,C,18.5
8/24/23 7:23:00 AM,C,19
8/24/23 7:25:00 AM,C,19
8/24/23 7:27:00 AM,C,19.5
8/24/23 7:29:00 AM,C,20
8/24/23 7:31:00 AM,C,20.5
8/24/23 7:33:00 AM,C,21
8/24/23 7:35:00 AM,C,21
8/24/23 7:37:00 AM,C,21.5
8/24/23 7:39:00 AM,C,22
8/24/23 7:41:00 AM,C,22
8/24/23 7:43:00 AM,C,22.5
8/24/23 7:45:00 AM,C,23
8/24/23 7:47:00 AM,C,23.5
8/24/23 7:49:00 AM,C,24
8/24/23 7:51:00 AM,C,24
8/24/23 7:53:00 AM,C,24.5
8/24/23 7:55:00 AM,C,25
8/24/23 7:57:00 AM,C,25.5
8/24/23 7:59:00 AM,C,26
8/24/23 8:01:00 AM,C,26
8/24/23 8:03:00 AM,C,26
8/24/23 8:05:00 AM,C,26.5
8/24/23 8:07:00 AM,C,26.5
8/24/23 8:09:00 AM,C,27
8/24/23 8:11:00 AM,C,28
8/24/23 8:13:00 AM,C,28
8/24/23 8:15:00 AM,C,28.5
8/24/23 8:17:00 AM,C,28.5
8/24/23 8:19:00 AM,C,29
8/24/23 8:21:00 AM,C,29.5
8/24/23 8:23:00 AM,C,30
8/24/23 8:25:00 AM,C,30
8/24/23 8:27:00 AM,C,30
8/24/23 8:29:00 AM,C,30
8/24/23 8:31:00 AM,C,30
8/24/23 8:33:00 AM,C,30.5
8/24/23 8:35:00 AM,C,30.5
8/24/23 8:37:00 AM,C,30.5
8/24/23 8:39:00 AM,C,31
8/24/23 8:41:00 AM,C,31
8/24/23 8:43:00 AM,C,31.5
8/24/23 8:45:00 AM,C,32
8/24/23 8:47:00 AM,C,32
8/24/23 8:49:00 AM,C,32
8/24/23 8:51:00 AM,C,32.5
8/24/23 8:53:00 AM,C,32.5
8/24/23 8:55:00 AM,C,32.5
8/24/23 8:57:00 AM,C,33
8/24/23 8:59:00 AM,C,33.5
8/24/23 9:01:00 AM,C,33.5
8/24/23 9:03:00 AM,C,34
8/24/23 9:05:00 AM,C,34
8/24/23 9:07:00 AM,C,34.5
8/24/23 9:09:00 AM,C,35
8/24/23 9:11:00 AM,C,35.5
8/24/23 9:13:00 AM,C,36
8/24/23 9:15:00 AM,C,36
8/24/23 9:17:00 AM,C,36.5
8/24/23 9:19:00 AM,C,37
8/24/23 9:21:00 AM,C,37
8/24/23 9:23:00 AM,C,37.5
8/24/23 9:25:00 AM,C,37.5
8/24/23 9:27:00 AM,C,37.5
8/24/23 9:29:00 AM,C,37.5
8/24/23 9:31:00 AM,C,37.5
8/24/23 9:33:00 AM,C,37.5
8/24/23 9:35:00 AM,C,37
8/24/23 9:37:00 AM,C,37.5
8/24/23 9:39:00 AM,C,38
8/24/23 9:41:00 AM,C,38
8/24/23 9:43:00 AM,C,38
8/24/23 9:45:00 AM,C,38.5
8/24/23 9:47:00 AM,C,39
8/24/23 9:49:00 AM,C,39.5
8/24/23 9:51:00 AM,C,40
8/24/23 9:53:00 AM,C,40
8/24/23 9:55:00 AM,C,39.5
8/24/23 9:57:00 AM,C,40
8/24/23 9:59:00 AM,C,40.5
8/24/23 10:01:00 AM,C,41
