resolution_deg_longitude,decimal_places,long_lat,spatial_resolution,deg_latitude
1,0,longitude,111320,0
0.1,1,longitude,11132,0
0.01,2,longitude,1113.2,0
0.001,3,longitude,111.32,0
0.0001,4,longitude,11.132,0
0.00001,5,longitude,1.1132,0
0.000001,6,longitude,0.0011132,0
0.0000001,7,longitude,0.00011132,0
0.00000001,8,longitude,0.000011132,0
0.000000001,9,longitude,1.1132E-06,0
1,0,latitude,110574,0
0.1,1,latitude,11057.4,0
0.01,2,latitude,1105.74,0
0.001,3,latitude,110.574,0
0.0001,4,latitude,11.0574,0
0.00001,5,latitude,1.10574,0
0.000001,6,latitude,0.110574,0
0.0000001,7,latitude,0.0110574,0
0.00000001,8,latitude,0.00110574,0
0.000000001,9,latitude,0.000110574,0
1,0,longitude,107551,15
0.1,1,longitude,10755.1,15
0.01,2,longitude,1075.51,15
0.001,3,longitude,107.551,15
0.0001,4,longitude,10.7551,15
0.00001,5,longitude,1.07551,15
0.000001,6,longitude,0.00107551,15
0.0000001,7,longitude,0.000107551,15
0.00000001,8,longitude,1.07551E-05,15
0.000000001,9,longitude,1.07551E-06,15
1,0,latitude,110649,15
0.1,1,latitude,11064.9,15
0.01,2,latitude,1106.49,15
0.001,3,latitude,110.649,15
0.0001,4,latitude,11.0649,15
0.00001,5,latitude,1.10649,15
0.000001,6,latitude,0.110649,15
0.0000001,7,latitude,0.0110649,15
0.00000001,8,latitude,0.00110649,15
0.000000001,9,latitude,0.000110649,15
1,0,longitude,96486,30
0.1,1,longitude,9648.6,30
0.01,2,longitude,964.86,30
0.001,3,longitude,96.486,30
0.0001,4,longitude,9.6486,30
0.00001,5,longitude,0.96486,30
0.000001,6,longitude,0.00096486,30
0.0000001,7,longitude,0.000096486,30
0.00000001,8,longitude,9.6486E-06,30
0.000000001,9,longitude,9.6486E-07,30
1,0,latitude,110852,30
0.1,1,latitude,11085.2,30
0.01,2,latitude,1108.52,30
0.001,3,latitude,110.852,30
0.0001,4,latitude,11.0852,30
0.00001,5,latitude,1.10852,30
0.000001,6,latitude,0.110852,30
0.0000001,7,latitude,0.0110852,30
0.00000001,8,latitude,0.00110852,30
0.000000001,9,latitude,0.000110852,30
1,0,longitude,78847,45
0.1,1,longitude,7884.7,45
0.01,2,longitude,788.47,45
0.001,3,longitude,78.847,45
0.0001,4,longitude,7.8847,45
0.00001,5,longitude,0.78847,45
0.000001,6,longitude,0.00078847,45
0.0000001,7,longitude,0.000078847,45
0.00000001,8,longitude,7.8847E-06,45
0.000000001,9,longitude,7.8847E-07,45
1,0,latitude,111132,45
0.1,1,latitude,11113.2,45
0.01,2,latitude,1111.32,45
0.001,3,latitude,111.132,45
0.0001,4,latitude,11.1132,45
0.00001,5,latitude,1.11132,45
0.000001,6,latitude,0.111132,45
0.0000001,7,latitude,0.0111132,45
0.00000001,8,latitude,0.00111132,45
0.000000001,9,latitude,0.000111132,45
1,0,longitude,55800,60
0.1,1,longitude,5580,60
0.01,2,longitude,558,60
0.001,3,longitude,55.8,60
0.0001,4,longitude,5.58,60
0.00001,5,longitude,0.558,60
0.000001,6,longitude,0.000558,60
0.0000001,7,longitude,0.0000558,60
0.00000001,8,longitude,0.00000558,60
0.000000001,9,longitude,0.000000558,60
1,0,latitude,111412,60
0.1,1,latitude,11141.2,60
0.01,2,latitude,1114.12,60
0.001,3,latitude,111.412,60
0.0001,4,latitude,11.1412,60
0.00001,5,latitude,1.11412,60
0.000001,6,latitude,0.111412,60
0.0000001,7,latitude,0.0111412,60
0.00000001,8,latitude,0.00111412,60
0.000000001,9,latitude,0.000111412,60
1,0,longitude,28902,75
0.1,1,longitude,2890.2,75
0.01,2,longitude,289.02,75
0.001,3,longitude,28.902,75
0.0001,4,longitude,2.8902,75
0.00001,5,longitude,0.28902,75
0.000001,6,longitude,0.00028902,75
0.0000001,7,longitude,0.000028902,75
0.00000001,8,longitude,2.8902E-06,75
0.000000001,9,longitude,2.8902E-07,75
1,0,latitude,111618,75
0.1,1,latitude,11161.8,75
0.01,2,latitude,1116.18,75
0.001,3,latitude,111.618,75
0.0001,4,latitude,11.1618,75
0.00001,5,latitude,1.11618,75
0.000001,6,latitude,0.111618,75
0.0000001,7,latitude,0.0111618,75
0.00000001,8,latitude,0.00111618,75
0.000000001,9,latitude,0.000111618,75
